evaluation_id,run_id,arm_id,episode_index,step_index,source_state,action_id,action_repr,reward,target_state,terminated,truncated,active_tier_before,active_tier_after
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep1,direct_tabular_q,0,0,"beat0:pitches(62, 66, 69)",7,"(-2, -1, 0)",1.4138888888888888,"beat1:pitches(60, 65, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep1,direct_tabular_q,0,1,"beat1:pitches(60, 65, 69)",124,"(2, 2, 2)",1.238888888888889,"beat2:pitches(62, 67, 71)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep1,direct_tabular_q,0,2,"beat2:pitches(62, 67, 71)",123,"(2, 2, 1)",1.286111111111111,"beat3:pitches(64, 69, 72)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep1,direct_tabular_q,0,3,"beat3:pitches(64, 69, 72)",62,"(0, 0, 0)",1.6777777777777778,"beat0:pitches(64, 69, 72)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep1,direct_tabular_q,0,4,"beat0:pitches(64, 69, 72)",51,"(0, -2, -1)",1.4361111111111111,"beat1:pitches(64, 67, 71)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep1,direct_tabular_q,0,5,"beat1:pitches(64, 67, 71)",63,"(0, 0, 1)",1.5416666666666665,"beat2:pitches(64, 67, 72)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep1,direct_tabular_q,0,6,"beat2:pitches(64, 67, 72)",92,"(1, 1, 0)",1.4833333333333332,"beat3:pitches(65, 68, 72)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep1,direct_tabular_q,0,7,"beat3:pitches(65, 68, 72)",42,"(-1, 1, 0)",2.6611111111111114,"beat0:pitches(64, 69, 72)",True,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep1,direct_tabular_q,1,0,"beat0:pitches(62, 66, 69)",7,"(-2, -1, 0)",1.4138888888888888,"beat1:pitches(60, 65, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep1,direct_tabular_q,1,1,"beat1:pitches(60, 65, 69)",124,"(2, 2, 2)",1.238888888888889,"beat2:pitches(62, 67, 71)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep1,direct_tabular_q,1,2,"beat2:pitches(62, 67, 71)",123,"(2, 2, 1)",1.286111111111111,"beat3:pitches(64, 69, 72)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep1,direct_tabular_q,1,3,"beat3:pitches(64, 69, 72)",62,"(0, 0, 0)",1.6777777777777778,"beat0:pitches(64, 69, 72)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep1,direct_tabular_q,1,4,"beat0:pitches(64, 69, 72)",51,"(0, -2, -1)",1.4361111111111111,"beat1:pitches(64, 67, 71)",False,False,,
