evaluation_id,run_id,arm_id,mode_id,schema_id,schema_seed,seed_bundle_id,replicate_index,episode_index,total_reward,step_count,terminated,truncated,success,final_state
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,direct_env_masked_random,,,seed-bdc0a4ee553b5fe0,3,0,12.694444444444445,8,True,False,True,"beat0:pitches(60, 65, 68)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,direct_env_masked_random,,,seed-bdc0a4ee553b5fe0,3,1,12.166666666666666,8,True,False,True,"beat0:pitches(62, 65, 70)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,direct_env_masked_random,,,seed-bdc0a4ee553b5fe0,3,2,13.375,8,True,False,True,"beat0:pitches(60, 64, 67)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,direct_env_masked_random,,,seed-bdc0a4ee553b5fe0,3,3,12.966666666666665,8,True,False,True,"beat0:pitches(60, 64, 67)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,direct_env_masked_random,,,seed-bdc0a4ee553b5fe0,3,4,12.461111111111112,8,True,False,True,"beat0:pitches(62, 65, 70)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,direct_env_masked_random,,,seed-bdc0a4ee553b5fe0,3,5,13.180555555555555,8,True,False,True,"beat0:pitches(60, 65, 69)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,direct_env_masked_random,,,seed-bdc0a4ee553b5fe0,3,6,12.963888888888887,8,True,False,True,"beat0:pitches(60, 64, 67)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,direct_env_masked_random,,,seed-bdc0a4ee553b5fe0,3,7,13.672222222222222,8,True,False,True,"beat0:pitches(60, 64, 67)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,direct_env_masked_random,,,seed-bdc0a4ee553b5fe0,3,8,12.675,8,True,False,True,"beat0:pitches(62, 67, 71)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,direct_env_masked_random,,,seed-bdc0a4ee553b5fe0,3,9,12.741666666666665,8,True,False,True,"beat0:pitches(62, 66, 70)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,direct_env_masked_random,,,seed-bdc0a4ee553b5fe0,3,10,12.777777777777775,8,True,False,True,"beat0:pitches(62, 67, 70)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,direct_env_masked_random,,,seed-bdc0a4ee553b5fe0,3,11,12.936111111111114,8,True,False,True,"beat0:pitches(62, 66, 70)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,direct_env_masked_random,,,seed-bdc0a4ee553b5fe0,3,12,13.524999999999999,8,True,False,True,"beat0:pitches(60, 63, 67)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,direct_env_masked_random,,,seed-bdc0a4ee553b5fe0,3,13,12.297222222222222,8,True,False,True,"beat0:pitches(62, 66, 69)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,direct_env_masked_random,,,seed-bdc0a4ee553b5fe0,3,14,13.105555555555554,8,True,False,True,"beat0:pitches(60, 63, 68)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,direct_env_masked_random,,,seed-bdc0a4ee553b5fe0,3,15,12.43611111111111,8,True,False,True,"beat0:pitches(60, 64, 72)"
