evaluation_id,schema_class_id,selected_tier,predicted_movement_direction,control_action,blocked_reason,event_count
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,,no_executable_unclosed,exploit_execute,no_executable_unclosed,8
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,,no_executable_unclosed,train,no_executable_unclosed,4
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,0,at_selected,explore,,24
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,0,at_selected,train,,4
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,21,at_selected,explore,,6
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,21,at_selected,train,,3
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,21,lift,lift,,3
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,22,at_selected,exploit_execute,,3
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,22,at_selected,explore,,17
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,22,at_selected,train,,5
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,22,descend,descend,,98
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,4,at_selected,explore,,4
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,4,descend,descend,,12
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,9,at_selected,explore,,2
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,9,descend,descend,,9
