evaluation_id,run_id,arm_id,mode_id,schema_id,schema_seed,seed_bundle_id,replicate_index,episode_index,total_reward,step_count,terminated,truncated,success,final_state
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep3,direct_tabular_q,direct_env_tabular,,,seed-bdc0a4ee553b5fe0,3,0,12.719444444444445,8,True,False,True,"beat0:pitches(60, 64, 68)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep3,direct_tabular_q,direct_env_tabular,,,seed-bdc0a4ee553b5fe0,3,1,12.399999999999999,8,True,False,True,"beat0:pitches(60, 69, 72)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep3,direct_tabular_q,direct_env_tabular,,,seed-bdc0a4ee553b5fe0,3,2,12.777777777777779,8,True,False,True,"beat0:pitches(60, 63, 67)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep3,direct_tabular_q,direct_env_tabular,,,seed-bdc0a4ee553b5fe0,3,3,12.37777777777778,8,True,False,True,"beat0:pitches(60, 69, 72)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep3,direct_tabular_q,direct_env_tabular,,,seed-bdc0a4ee553b5fe0,3,4,12.613888888888889,8,True,False,True,"beat0:pitches(62, 67, 71)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep3,direct_tabular_q,direct_env_tabular,,,seed-bdc0a4ee553b5fe0,3,5,12.905555555555553,8,True,False,True,"beat0:pitches(60, 64, 67)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep3,direct_tabular_q,direct_env_tabular,,,seed-bdc0a4ee553b5fe0,3,6,12.155555555555555,8,True,False,True,"beat0:pitches(62, 65, 69)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep3,direct_tabular_q,direct_env_tabular,,,seed-bdc0a4ee553b5fe0,3,7,12.41388888888889,8,True,False,True,"beat0:pitches(60, 63, 67)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep3,direct_tabular_q,direct_env_tabular,,,seed-bdc0a4ee553b5fe0,3,8,12.647222222222222,8,True,False,True,"beat0:pitches(62, 65, 69)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep3,direct_tabular_q,direct_env_tabular,,,seed-bdc0a4ee553b5fe0,3,9,12.825,8,True,False,True,"beat0:pitches(60, 64, 68)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep3,direct_tabular_q,direct_env_tabular,,,seed-bdc0a4ee553b5fe0,3,10,12.37777777777778,8,True,False,True,"beat0:pitches(60, 69, 72)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep3,direct_tabular_q,direct_env_tabular,,,seed-bdc0a4ee553b5fe0,3,11,12.719444444444445,8,True,False,True,"beat0:pitches(60, 64, 68)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep3,direct_tabular_q,direct_env_tabular,,,seed-bdc0a4ee553b5fe0,3,12,12.719444444444445,8,True,False,True,"beat0:pitches(60, 64, 68)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep3,direct_tabular_q,direct_env_tabular,,,seed-bdc0a4ee553b5fe0,3,13,12.855555555555556,8,True,False,True,"beat0:pitches(60, 63, 67)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep3,direct_tabular_q,direct_env_tabular,,,seed-bdc0a4ee553b5fe0,3,14,12.727777777777774,8,True,False,True,"beat0:pitches(62, 67, 70)"
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep3,direct_tabular_q,direct_env_tabular,,,seed-bdc0a4ee553b5fe0,3,15,12.791666666666666,8,True,False,True,"beat0:pitches(62, 67, 71)"
