evaluation_id,run_id,candidate_id,instance_id,arm_id,schema_seed,seed_bundle_id,training_replicate_index,episode_index,step_index,controller_event_index,source_state,action_repr,reward,target_state,terminated,truncated,active_tier_before,active_tier_after
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,counterpoint_symbolic_n3_small_v001,p001_over_018,0,seed-7fe8666539580bdb,0,0,0,11,"beat0:pitches(60, 65, 68)","(2, 2, 2)",1.25,"beat1:pitches(62, 67, 70)",False,False,1,1
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,counterpoint_symbolic_n3_small_v001,p001_over_018,0,seed-7fe8666539580bdb,0,0,1,12,"beat1:pitches(62, 67, 70)","(2, 1, 1)",1.3666666666666665,"beat2:pitches(64, 68, 71)",False,False,1,1
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,counterpoint_symbolic_n3_small_v001,p001_over_018,0,seed-7fe8666539580bdb,0,0,2,16,"beat2:pitches(64, 68, 71)","(-2, -2, 0)",1.3666666666666665,"beat3:pitches(62, 66, 71)",False,False,1,1
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,counterpoint_symbolic_n3_small_v001,p001_over_018,0,seed-7fe8666539580bdb,0,0,3,23,"beat3:pitches(62, 66, 71)","(2, 2, 1)",1.3972222222222221,"beat0:pitches(64, 68, 72)",False,False,1,1
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,counterpoint_symbolic_n3_small_v001,p001_over_018,0,seed-7fe8666539580bdb,0,0,4,43,"beat0:pitches(64, 68, 72)","(1, 0, 0)",1.5416666666666665,"beat1:pitches(65, 68, 72)",False,False,1,1
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,counterpoint_symbolic_n3_small_v001,p001_over_018,0,seed-7fe8666539580bdb,0,0,5,46,"beat1:pitches(65, 68, 72)","(0, 1, 0)",1.5305555555555554,"beat2:pitches(65, 69, 72)",False,False,1,1
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,counterpoint_symbolic_n3_small_v001,p001_over_018,0,seed-7fe8666539580bdb,0,0,6,55,"beat2:pitches(65, 69, 72)","(-1, 0, 0)",1.5194444444444444,"beat3:pitches(64, 69, 72)",False,False,1,1
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,counterpoint_symbolic_n3_small_v001,p001_over_018,0,seed-7fe8666539580bdb,0,1,0,16,"beat0:pitches(60, 65, 68)","(0, -1, 0)",1.5305555555555554,"beat1:pitches(60, 64, 68)",False,False,1,1
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,counterpoint_symbolic_n3_small_v001,p001_over_018,0,seed-7fe8666539580bdb,0,1,1,18,"beat1:pitches(60, 64, 68)","(0, 0, -1)",1.5416666666666665,"beat2:pitches(60, 64, 67)",False,False,1,1
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,counterpoint_symbolic_n3_small_v001,p001_over_018,0,seed-7fe8666539580bdb,0,1,2,36,"beat2:pitches(60, 64, 67)","(0, -1, 0)",1.5305555555555554,"beat3:pitches(60, 63, 67)",False,False,1,1
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,counterpoint_symbolic_n3_small_v001,p001_over_018,0,seed-7fe8666539580bdb,0,1,3,38,"beat3:pitches(60, 63, 67)","(0, 0, 0)",1.6888888888888889,"beat0:pitches(60, 63, 67)",False,False,1,1
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,counterpoint_symbolic_n3_small_v001,p001_over_018,0,seed-7fe8666539580bdb,0,1,4,44,"beat0:pitches(60, 63, 67)","(0, 2, 2)",1.3555555555555554,"beat1:pitches(60, 65, 69)",False,False,1,1
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,counterpoint_symbolic_n3_small_v001,p001_over_018,0,seed-7fe8666539580bdb,0,1,5,46,"beat1:pitches(60, 65, 69)","(2, 1, 1)",1.3777777777777778,"beat2:pitches(62, 66, 70)",False,False,1,1
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,counterpoint_symbolic_n3_small_v001,p001_over_018,0,seed-7fe8666539580bdb,0,1,6,47,"beat2:pitches(62, 66, 70)","(0, 1, 0)",1.5416666666666665,"beat3:pitches(62, 67, 70)",False,False,1,1
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,counterpoint_symbolic_n3_small_v001,p001_over_018,0,seed-7fe8666539580bdb,0,2,0,1,"beat0:pitches(60, 63, 67)","(0, 2, 2)",1.3555555555555554,"beat1:pitches(60, 65, 69)",False,False,1,1
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,counterpoint_symbolic_n3_small_v001,p001_over_018,0,seed-7fe8666539580bdb,0,2,1,2,"beat1:pitches(60, 65, 69)","(0, 0, -1)",1.5416666666666665,"beat2:pitches(60, 65, 68)",False,False,1,1
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,counterpoint_symbolic_n3_small_v001,p001_over_018,0,seed-7fe8666539580bdb,0,2,2,3,"beat2:pitches(60, 65, 68)","(2, 0, 1)",1.4361111111111111,"beat3:pitches(62, 65, 69)",False,False,1,1
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,counterpoint_symbolic_n3_small_v001,p001_over_018,0,seed-7fe8666539580bdb,0,2,3,8,"beat3:pitches(62, 65, 69)","(0, 1, 2)",1.525,"beat0:pitches(62, 66, 71)",False,False,0,0
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,counterpoint_symbolic_n3_small_v001,p001_over_018,0,seed-7fe8666539580bdb,0,2,4,9,"beat0:pitches(62, 66, 71)","(2, 1, 1)",1.3666666666666665,"beat1:pitches(64, 67, 72)",False,False,0,0
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,counterpoint_symbolic_n3_small_v001,p001_over_018,0,seed-7fe8666539580bdb,0,2,5,11,"beat1:pitches(64, 67, 72)","(0, 0, -1)",1.5527777777777778,"beat2:pitches(64, 67, 71)",False,False,0,0
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,counterpoint_symbolic_n3_small_v001,p001_over_018,0,seed-7fe8666539580bdb,0,2,6,12,"beat2:pitches(64, 67, 71)","(0, 2, 1)",1.4027777777777777,"beat3:pitches(64, 69, 72)",False,False,0,0
